benchmark,model,prompt,trial,passed,failure_class,duration_s,latency_s,tokens
dsp_movavg,synthetic-high,direct,1,1,none,0.0011,1.462,294
dsp_movavg,synthetic-high,direct,2,1,none,0.0011,1.462,294
fsm_seqdet,synthetic-high,direct,0,1,none,0.0016,2.207,308
fsm_seqdet,synthetic-high,direct,1,1,none,0.0011,2.207,308
fsm_seqdet,synthetic-high,direct,2,1,none,0.0013,2.207,308
fsm_traffic,synthetic-high,direct,0,1,none,0.001,1.994,317
fsm_traffic,synthetic-high,direct,1,1,none,0.0011,1.994,317
fsm_traffic,synthetic-high,direct,2,1,none,0.001,1.994,317
mem_fifo,synthetic-high,direct,0,1,none,0.0011,1.747,367
mem_fifo,synthetic-high,direct,1,1,none,0.0011,1.747,367
mem_fifo,synthetic-high,direct,2,1,none,0.0014,1.747,367
mem_regfile,synthetic-high,direct,0,1,none,0.0011,1.466,309
mem_regfile,synthetic-high,direct,1,1,none,0.0015,1.466,309
mem_regfile,synthetic-high,direct,2,1,none,0.0015,1.466,309
mem_sync_ram,synthetic-high,direct,0,1,none,0.001,1.776,203
mem_sync_ram,synthetic-high,direct,1,1,none,0.0013,1.776,203
mem_sync_ram,synthetic-high,direct,2,1,none,0.001,1.776,203
proc_alu_ctrl,synthetic-high,direct,0,1,none,0.0014,1.383,329
proc_alu_ctrl,synthetic-high,direct,1,1,none,0.0012,1.383,329
proc_alu_ctrl,synthetic-high,direct,2,1,none,0.0011,1.383,329
proc_branch_pred,synthetic-high,direct,0,1,none,0.0011,1.753,204
proc_branch_pred,synthetic-high,direct,1,1,none,0.0015,1.753,204
proc_branch_pred,synthetic-high,direct,2,1,none,0.0011,1.753,204
arith_adder8,synthetic-mid,direct,0,1,none,0.0012,0.735,245
arith_adder8,synthetic-mid,direct,1,1,none,0.0011,0.735,245
arith_adder8,synthetic-mid,direct,2,1,none,0.0012,0.735,245
arith_alu8,synthetic-mid,direct,0,1,none,0.0013,1.377,323
arith_alu8,synthetic-mid,direct,1,1,none,0.0015,1.377,323
arith_alu8,synthetic-mid,direct,2,1,none,0.0014,1.377,323
arith_cmp8,synthetic-mid,direct,0,1,none,0.0015,1.667,143
arith_cmp8,synthetic-mid,direct,1,1,none,0.0011,1.667,143
arith_cmp8,synthetic-mid,direct,2,1,none,0.0013,1.667,143
arith_mul8,synthetic-mid,direct,0,1,none,0.0015,1.253,185
arith_mul8,synthetic-mid,direct,1,1,none,0.0011,1.253,185
arith_mul8,synthetic-mid,direct,2,1,none,0.0012,1.253,185
comm_i2c_ctrl,synthetic-mid,direct,0,1,none,0.0013,2.528,405
comm_i2c_ctrl,synthetic-mid,direct,1,1,none,0.0015,2.528,405
comm_i2c_ctrl,synthetic-mid,direct,2,1,none,0.0011,2.528,405
comm_spi_master,synthetic-mid,direct,0,1,none,0.001,2.719,271
comm_spi_master,synthetic-mid,direct,1,1,none,0.0012,2.719,271
comm_spi_master,synthetic-mid,direct,2,1,none,0.0014,2.719,271
comm_uart_tx,synthetic-mid,direct,0,0,no_code_generated,0.0011,2.508,154
comm_uart_tx,synthetic-mid,direct,1,0,no_code_generated,0.0011,2.508,154
comm_uart_tx,synthetic-mid,direct,2,0,no_code_generated,0.001,2.508,154
ctrl_debounce,synthetic-mid,direct,0,1,none,0.0014,0.87,290
ctrl_debounce,synthetic-mid,direct,1,1,none,0.0012,0.87,290
ctrl_debounce,synthetic-mid,direct,2,1,none,0.0013,0.87,290
ctrl_pwm,synthetic-mid,direct,0,1,none,0.0012,1.57,195
ctrl_pwm,synthetic-mid,direct,1,1,none,0.0011,1.57,195
ctrl_pwm,synthetic-mid,direct,2,1,none,0.0012,1.57,195
dsp_fir4,synthetic-mid,direct,0,1,none,0.0012,2.347,210
dsp_fir4,synthetic-mid,direct,1,1,none,0.0012,2.347,210
dsp_fir4,synthetic-mid,direct,2,1,none,0.0015,2.347,210
dsp_movavg,synthetic-mid,direct,0,1,none,0.0017,1.714,294
dsp_movavg,synthetic-mid,direct,1,1,none,0.0013,1.714,294
dsp_movavg,synthetic-mid,direct,2,1,none,0.0017,1.714,294
fsm_seqdet,synthetic-mid,direct,0,1,none,0.0013,1.88,308
fsm_seqdet,synthetic-mid,direct,1,1,none,0.0013,1.88,308
fsm_seqdet,synthetic-mid,direct,2,1,none,0.0012,1.88,308
fsm_traffic,synthetic-mid,direct,0,1,none,0.0014,1.545,317
fsm_traffic,synthetic-mid,direct,1,1,none,0.0017,1.545,317
fsm_traffic,synthetic-mid,direct,2,1,none,0.0013,1.545,317
mem_fifo,synthetic-mid,direct,0,1,none,0.0019,2.27,366
mem_fifo,synthetic-mid,direct,1,1,none,0.0016,2.27,366
mem_fifo,synthetic-mid,direct,2,1,none,0.0014,2.27,366
mem_regfile,synthetic-mid,direct,0,1,none,0.0015,1.816,212
mem_regfile,synthetic-mid,direct,1,1,none,0.0012,1.816,212
mem_regfile,synthetic-mid,direct,2,1,none,0.0012,1.816,212
mem_sync_ram,synthetic-mid,direct,0,1,none,0.0012,1.364,263
mem_sync_ram,synthetic-mid,direct,1,1,none,0.0013,1.364,263
mem_sync_ram,synthetic-mid,direct,2,1,none,0.0015,1.364,263
proc_alu_ctrl,synthetic-mid,direct,0,1,none,0.0015,1.13,329
proc_alu_ctrl,synthetic-mid,direct,1,1,none,0.0016,1.13,329
proc_alu_ctrl,synthetic-mid,direct,2,1,none,0.0012,1.13,329
proc_branch_pred,synthetic-mid,direct,0,1,none,0.0011,2.141,272
proc_branch_pred,synthetic-mid,direct,1,1,none,0.0012,2.141,272
proc_branch_pred,synthetic-mid,direct,2,1,none,0.0012,2.141,272
arith_adder8,synthetic-low,direct,0,0,no_code_generated,0.0013,1.056,136
arith_adder8,synthetic-low,direct,1,0,no_code_generated,0.0016,1.056,136
arith_adder8,synthetic-low,direct,2,0,no_code_generated,0.0013,1.056,136
arith_alu8,synthetic-low,direct,0,1,none,0.0016,1.203,324
arith_alu8,synthetic-low,direct,1,1,none,0.0027,1.203,324
arith_alu8,synthetic-low,direct,2,1,none,0.0014,1.203,324
arith_cmp8,synthetic-low,direct,0,1,none,0.0017,1.673,191
arith_cmp8,synthetic-low,direct,1,1,none,0.0018,1.673,191
arith_cmp8,synthetic-low,direct,2,1,none,0.0014,1.673,191
arith_mul8,synthetic-low,direct,0,1,none,0.0015,1.074,185
arith_mul8,synthetic-low,direct,1,1,none,0.0016,1.074,185
arith_mul8,synthetic-low,direct,2,1,none,0.0019,1.074,185
comm_i2c_ctrl,synthetic-low,direct,0,1,none,0.0013,2.72,253
comm_i2c_ctrl,synthetic-low,direct,1,1,none,0.0013,2.72,253
comm_i2c_ctrl,synthetic-low,direct,2,1,none,0.0019,2.72,253
comm_spi_master,synthetic-low,direct,0,1,none,0.0019,1.963,440
comm_spi_master,synthetic-low,direct,1,1,none,0.0018,1.963,440
comm_spi_master,synthetic-low,direct,2,1,none,0.0014,1.963,440
comm_uart_tx,synthetic-low,direct,0,1,none,0.0016,1.899,407
comm_uart_tx,synthetic-low,direct,1,1,none,0.0017,1.899,407
comm_uart_tx,synthetic-low,direct,2,1,none,0.0014,1.899,407
ctrl_debounce,synthetic-low,direct,0,1,none,0.0038,1.407,290
ctrl_debounce,synthetic-low,direct,1,1,none,0.0014,1.407,290
ctrl_debounce,synthetic-low,direct,2,1,none,0.002,1.407,290
ctrl_pwm,synthetic-low,direct,0,1,none,0.0014,1.167,252
ctrl_pwm,synthetic-low,direct,1,1,none,0.0016,1.167,252
ctrl_pwm,synthetic-low,direct,2,1,none,0.0018,1.167,252
dsp_fir4,synthetic-low,direct,0,1,none,0.0015,2.195,298
dsp_fir4,synthetic-low,direct,1,1,none,0.0016,2.195,298
dsp_fir4,synthetic-low,direct,2,1,none,0.0014,2.195,298
dsp_movavg,synthetic-low,direct,0,1,none,0.0014,1.611,210
dsp_movavg,synthetic-low,direct,1,1,none,0.0015,1.611,210
dsp_movavg,synthetic-low,direct,2,1,none,0.0016,1.611,210
fsm_seqdet,synthetic-low,direct,0,0,protocol_violation,0.0016,1.968,207
fsm_seqdet,synthetic-low,direct,1,0,protocol_violation,0.0013,1.968,207
fsm_seqdet,synthetic-low,direct,2,0,protocol_violation,0.0012,1.968,207
fsm_traffic,synthetic-low,direct,0,1,none,0.0012,1.517,317
fsm_traffic,synthetic-low,direct,1,1,none,0.0012,1.517,317
fsm_traffic,synthetic-low,direct,2,1,none,0.0013,1.517,317
mem_fifo,synthetic-low,direct,0,0,no_code_generated,0.0011,2.158,126
mem_fifo,synthetic-low,direct,1,0,no_code_generated,0.001,2.158,126
mem_fifo,synthetic-low,direct,2,0,no_code_generated,0.0015,2.158,126
mem_regfile,synthetic-low,direct,0,1,none,0.0013,2.174,308
mem_regfile,synthetic-low,direct,1,1,none,0.0011,2.174,308
mem_regfile,synthetic-low,direct,2,1,none,0.0013,2.174,308
mem_sync_ram,synthetic-low,direct,0,0,no_code_generated,0.0011,1.506,122
mem_sync_ram,synthetic-low,direct,1,0,no_code_generated,0.001,1.506,122
mem_sync_ram,synthetic-low,direct,2,0,no_code_generated,0.001,1.506,122
proc_alu_ctrl,synthetic-low,direct,0,1,none,0.0015,1.369,329
proc_alu_ctrl,synthetic-low,direct,1,1,none,0.0013,1.369,329
proc_alu_ctrl,synthetic-low,direct,2,1,none,0.0028,1.369,329
proc_branch_pred,synthetic-low,direct,0,1,none,0.0013,2.266,272
proc_branch_pred,synthetic-low,direct,1,1,none,0.0018,2.266,272
proc_branch_pred,synthetic-low,direct,2,1,none,0.0013,2.266,272
